Alacranite,5.864,0.890,2
Alacranite,3.049,0.870,3
Alacranite,5.093,0.710,4
Alacranite,3.279,0.690,5
Alacranite,3.072,0.680,6
Alacranite,4.031,0.580,7
Alamosite,2.300,1.000,1
Alamosite,3.340,1.000,2
Alamosite,3.560,0.800,3
Alarsite,3.442,1.000,1
Alarsite,4.060,0.310,2
Alarsite,4.360,0.200,3
Albite,3.176,1.000,1
Albite,3.211,0.300,2
Albite,3.752,0.300,3
Aldermanite,13.400,1.000,1
Aldermanite,7.980,0.800,2
Aldermanite,5.550,0.600,3
Aldzhanite,7.460,1.000,1
Aldzhanite,3.070,0.900,2
Aldzhanite,2.548,0.800,3
Aleksite,3.090,1.000,1
Aleksite,2.120,0.600,2
Aleksite,2.250,0.400,3
Alflarsenite,9.095,1.000,1
Alflarsenite,2.915,0.920,2
Alflarsenite,3.972,0.760,3
Alflarsenite,2.964,0.700,4
Alflarsenite,6.279,0.420,5
Alflarsenite,3.205,0.370,6
Alflarsenite,2.757,0.330,7
Alflarsenite,4.189,0.320,8
Alforsite,3.060,1.000,1
Alforsite,2.130,0.300,2
Alforsite,2.950,0.300,3
Alfredstelznerite,10.501,1.000,1
Alfredstelznerite,3.118,0.700,2
Alfredstelznerite,3.837,0.700,3
Alfredstelznerite,5.226,0.700,4
Alfredstelznerite,2.538,0.600,5
Alfredstelznerite,2.612,0.600,6
Alfredstelznerite,4.623,0.600,7
Alfredstelznerite,9.992,0.500,8
Algodonite,1.989,1.000,1
Algodonite,2.110,0.400,2
Algodonite,2.250,0.200,3
Aliettite,12.000,1.000,1
Aliettite,1.520,0.900,2
Aliettite,2.620,0.900,3
Aliettite,1.314,0.700,4
Aliettite,3.500,0.600,5
Aliettite,4.540,0.600,6
Aliettite,1.725,0.400,7
Aliettite,24.000,0.200,8
Allabogdanite,2.238,1.000,1
Allabogdanite,2.120,0.800,2
Allabogdanite,2.073,0.700,3
Allabogdanite,1.884,0.500,4
Allabogdanite,1.758,0.400,5
Allabogdanite,1.774,0.400,6
Allabogdanite,1.788,0.400,7
Allabogdanite,1.843,0.400,8
Allactite,3.060,1.000,1
Allactite,3.710,0.650,2
Allactite,3.280,0.550,3
Allanite-(Ce),2.920,1.000,1
Allanite-(Ce),2.714,0.650,2
Allanite-(Ce),3.530,0.450,3
Allanite-(La),2.901,1.000,1
Allanite-(La),2.692,0.600,2
Allanite-(La),2.611,0.500,3
Allanite-(La),2.806,0.400,4
Allanite-(La),2.174,0.250,5
Allanite-(La),1.632,0.200,6
Allanite-(La),3.506,0.200,7
Allanite-(La),1.432,0.150,8
Allanite-(La),2.283,0.150,9
Allanite-(La),7.930,0.150,10
Allanpringite,8.900,1.000,1
Allanpringite,3.231,0.800,2
Allanpringite,8.410,0.600,3
Allanpringite,3.600,0.500,4
Allanpringite,5.870,0.500,5
Allanpringite,3.357,0.400,6
Allanpringite,4.873,0.300,7
Allanpringite,2.177,0.200,8
Allargentum,2.370,1.000,1
Allargentum,2.252,0.600,2
Allargentum,2.548,0.400,3
Alleghanyite,1.799,1.000,1
Alleghanyite,2.860,0.800,2
Alleghanyite,2.598,0.600,3
Allendeite,2.900,1.000,1
Allendeite,4.698,0.500,2
Allendeite,1.152,0.400,3
Allendeite,1.450,0.400,4
Allendeite,1.776,0.320,5
Allendeite,1.779,0.270,6
Allendeite,1.515,0.190,7
Allendeite,2.513,0.180,8
Allochalcoselite,3.080,1.000,1
Allochalcoselite,3.550,0.800,2
Allochalcoselite,3.860,0.800,3
Allochalcoselite,1.543,0.500,4
Allochalcoselite,1.348,0.400,5
Allochalcoselite,1.448,0.300,6
Allochalcoselite,1.710,0.300,7
Allochalcoselite,2.504,0.200,8
Alloclasite,2.750,1.000,1
Alloclasite,2.470,0.900,2
Alloclasite,1.820,0.700,3
Allophane,3.300,1.000,1
Allophane,2.250,0.200,2
Allophane,1.400,0.100,3
Allophane,1.230,0.050,4
Allophane,1.860,0.050,5
Alloriite,3.330,1.000,1
Alloriite,4.850,0.900,2
Alloriite,3.760,0.800,3
Alloriite,2.694,0.700,4
Alloriite,3.680,0.700,5
Alloriite,11.300,0.700,6
Alloriite,2.795,0.600,7
Alloriite,4.030,0.600,8
Alluaivite,2.825,1.000,1
Alluaivite,2.960,1.000,2
Alluaivite,7.140,0.800,3
Alluaudite,2.730,1.000,1
Alluaudite,6.300,0.800,2
Alluaudite,3.070,0.650,3
Almandine,2.569,1.000,1
Almandine,1.540,0.500,2
Almandine,2.873,0.400,3
Almarudite,2.882,1.000,1
Almarudite,3.187,0.900,2
Almarudite,4.076,0.800,3
Almarudite,2.732,0.500,4
Almarudite,3.522,0.400,5
Almarudite,1.826,0.400,6
Almarudite,5.000,0.400,7
Almarudite,7.047,0.400,8
Alpersite,4.850,1.000,1
Alpersite,3.779,0.380,2
Alpersite,4.440,0.160,3
Alpersite,3.254,0.150,4
Alpersite,3.663,0.150,5
Alpersite,2.721,0.140,6
Alpersite,3.078,0.140,7
Alpersite,4.790,0.140,8
Alsakharovite-Zn,6.960,1.000,1
Alsakharovite-Zn,3.110,0.900,2
Alsakharovite-Zn,3.210,0.800,3
Alsakharovite-Zn,1.700,0.400,4
Alsakharovite-Zn,2.500,0.400,5
